2020.06.27 13:17:42 INFO  started: Metals version 0.9.0 in workspace 'C:\wamp64\www\cheltrad-education'
2020.06.27 13:17:45 INFO  time: initialize in 3.89s
2020.06.27 13:17:57 WARN  no build tool detected in workspace 'C:\wamp64\www\cheltrad-education'. The most common cause for this problem is that the editor was opened in the wrong working directory, for example if you use sbt then the workspace directory should contain build.sbt. 
2020.07.04 19:45:43 INFO  started: Metals version 0.9.1 in workspace 'C:\wamp64\www\cheltrad-education'
2020.07.04 19:45:47 INFO  time: initialize in 3.72s
2020.07.04 19:45:56 WARN  resetting database: C:\wamp64\www\cheltrad-education\.metals\metals.h2.db
2020.07.04 19:45:58 WARN  no build tool detected in workspace 'C:\wamp64\www\cheltrad-education'. The most common cause for this problem is that the editor was opened in the wrong working directory, for example if you use sbt then the workspace directory should contain build.sbt. 
2020.07.12 12:59:51 INFO  started: Metals version 0.9.1 in workspace 'C:\wamp64\www\cheltrad-education'
2020.07.12 12:59:58 INFO  time: initialize in 6.86s
2020.07.12 13:00:14 WARN  no build tool detected in workspace 'C:\wamp64\www\cheltrad-education'. The most common cause for this problem is that the editor was opened in the wrong working directory, for example if you use sbt then the workspace directory should contain build.sbt. 
2020.07.15 00:20:50 INFO  started: Metals version 0.9.1 in workspace 'C:\wamp64\www\cheltrad-education'
2020.07.15 00:20:53 INFO  time: initialize in 3.46s
2020.07.15 00:21:07 WARN  no build tool detected in workspace 'C:\wamp64\www\cheltrad-education'. The most common cause for this problem is that the editor was opened in the wrong working directory, for example if you use sbt then the workspace directory should contain build.sbt. 
2020.07.15 13:56:16 INFO  started: Metals version 0.9.1 in workspace 'C:\wamp64\www\cheltrad-education'
2020.07.15 13:56:38 INFO  time: initialize in 21s
2020.07.15 13:56:54 WARN  no build tool detected in workspace 'C:\wamp64\www\cheltrad-education'. The most common cause for this problem is that the editor was opened in the wrong working directory, for example if you use sbt then the workspace directory should contain build.sbt. 
2020.07.16 16:31:59 INFO  started: Metals version 0.9.2 in workspace 'C:\wamp64\www\cheltrad-education' for client vscode.
2020.07.16 16:32:01 INFO  time: initialize in 2.52s
2020.07.16 16:32:07 WARN  no build tool detected in workspace 'C:\wamp64\www\cheltrad-education'. The most common cause for this problem is that the editor was opened in the wrong working directory, for example if you use sbt then the workspace directory should contain build.sbt. 
2020.07.17 16:29:39 INFO  started: Metals version 0.9.2 in workspace 'C:\wamp64\www\cheltrad-education' for client vscode.
2020.07.17 16:29:42 INFO  time: initialize in 3.68s
2020.07.17 16:29:49 WARN  no build tool detected in workspace 'C:\wamp64\www\cheltrad-education'. The most common cause for this problem is that the editor was opened in the wrong working directory, for example if you use sbt then the workspace directory should contain build.sbt. 
2020.07.23 09:05:06 INFO  started: Metals version 0.9.2 in workspace 'C:\wamp64\www\cheltrad-education' for client vscode.
2020.07.23 09:05:10 INFO  time: initialize in 4.07s
2020.07.23 09:05:18 WARN  no build tool detected in workspace 'C:\wamp64\www\cheltrad-education'. The most common cause for this problem is that the editor was opened in the wrong working directory, for example if you use sbt then the workspace directory should contain build.sbt. 
2020.07.24 08:24:51 INFO  started: Metals version 0.9.2 in workspace 'C:\wamp64\www\cheltrad-education' for client vscode.
2020.07.24 08:24:57 INFO  time: initialize in 5.86s
2020.07.24 08:25:14 WARN  no build tool detected in workspace 'C:\wamp64\www\cheltrad-education'. The most common cause for this problem is that the editor was opened in the wrong working directory, for example if you use sbt then the workspace directory should contain build.sbt. 
2020.07.27 08:57:31 INFO  started: Metals version 0.9.2 in workspace 'C:\wamp64\www\cheltrad-education' for client vscode.
2020.07.27 08:57:34 INFO  time: initialize in 2.9s
2020.07.27 08:57:41 WARN  no build tool detected in workspace 'C:\wamp64\www\cheltrad-education'. The most common cause for this problem is that the editor was opened in the wrong working directory, for example if you use sbt then the workspace directory should contain build.sbt. 
2020.07.29 09:08:22 INFO  started: Metals version 0.9.2 in workspace 'C:\wamp64\www\cheltrad-education' for client vscode.
2020.07.29 09:08:27 INFO  time: initialize in 4.17s
2020.07.29 09:09:26 WARN  no build tool detected in workspace 'C:\wamp64\www\cheltrad-education'. The most common cause for this problem is that the editor was opened in the wrong working directory, for example if you use sbt then the workspace directory should contain build.sbt. 
2020.09.16 09:09:15 INFO  started: Metals version 0.9.3 in workspace 'C:\wamp64\www\cheltrad-education' for client vscode.
2020.09.16 09:09:21 INFO  time: initialize in 5.12s
2020.09.16 09:09:28 WARN  no build tool detected in workspace 'C:\wamp64\www\cheltrad-education'. The most common cause for this problem is that the editor was opened in the wrong working directory, for example if you use sbt then the workspace directory should contain build.sbt. 
2020.09.16 11:14:47 INFO  shutting down Metals
2020.10.02 11:48:48 INFO  started: Metals version 0.9.4 in workspace 'C:\wamp64\www\cheltrad-education' for client vscode.
2020.10.02 11:48:52 INFO  time: initialize in 4.33s
2020.10.02 11:48:54 WARN  no build tool detected in workspace 'C:\wamp64\www\cheltrad-education'. The most common cause for this problem is that the editor was opened in the wrong working directory, for example if you use sbt then the workspace directory should contain build.sbt. 
2020.10.08 08:57:46 INFO  started: Metals version 0.9.4 in workspace 'C:\wamp64\www\cheltrad-education' for client vscode.
2020.10.08 08:57:48 INFO  time: initialize in 2.12s
2020.10.08 08:57:55 WARN  no build tool detected in workspace 'C:\wamp64\www\cheltrad-education'. The most common cause for this problem is that the editor was opened in the wrong working directory, for example if you use sbt then the workspace directory should contain build.sbt. 
2020.10.08 09:42:22 INFO  shutting down Metals
2020.10.08 09:50:29 INFO  started: Metals version 0.9.4 in workspace 'C:\wamp64\www\cheltrad-education' for client vscode.
2020.10.08 09:50:51 INFO  time: initialize in 23s
2020.10.08 09:51:10 WARN  no build tool detected in workspace 'C:\wamp64\www\cheltrad-education'. The most common cause for this problem is that the editor was opened in the wrong working directory, for example if you use sbt then the workspace directory should contain build.sbt. 
2020.10.20 11:14:03 INFO  started: Metals version 0.9.4 in workspace 'C:\wamp64\www\cheltrad-education' for client vscode.
2020.10.20 11:14:09 INFO  time: initialize in 6.13s
2020.10.20 11:14:19 WARN  no build tool detected in workspace 'C:\wamp64\www\cheltrad-education'. The most common cause for this problem is that the editor was opened in the wrong working directory, for example if you use sbt then the workspace directory should contain build.sbt. 
